Location Name,City,State,Stylists on Website,Stylists with Sola Pro Account,Stylists with SolaGenius Account
Stonebridge Square,Roswell,Georgia,22,6,2
The Shoppes at Three Fountains,West Des Moines,Iowa,25,15,6
Chino Hills,Chino Hills,California,35,10,3
Longview,Longview,Texas,19,13,7
Village at Riverstone,Coeur d'Alene,Idaho,12,9,4
Middletown,Louisville,Kentucky,34,13,7
Lubbock Southwest,Lubbock ,Texas,27,12,7
Albuquerque - Paseo,Albuquerque,New Mexico,22,9,3
Beacon Hill,Crown Point,Indiana,25,20,2
Reno-Kietzke,Reno,Nevada,28,9,2
Morgan Hill,Morgan Hill,California,20,7,1
Baum Boulevard,Pittsburgh,Pennsylvania,16,4,4
Monroeville,Monroeville,Pennsylvania,13,7,2
Redlands,Redlands,California,35,17,2
Heights,Houston,Texas,23,16,4
Rocky River,Rocky River,Ohio,26,15,7
North Little Rock,North Little Rock,Arkansas,22,10,8
Jefferson Commons,Newport News,Virginia,29,15,3
Westport,Westport,Connecticut,18,13,11
Rosewood Crossing,Columbia,South Carolina,26,16,5
San Marcos West,San Marcos,California,31,15,6
Valencia,Valencia,California,34,11,1
Altamonte Springs,Altamonte Springs,Florida,25,12,2
North Rochester,Rochester,Minnesota,31,14,5
Avondale,Avondale,Arizona,29,22,11
College Station - Rock Prairie Road,College Station,Texas,22,13,4
Brea,Brea,California,32,9,3
West Lakeview,Chicago,Illinois,32,17,0
Clear Lake,Houston,Texas,18,11,6
McHenry Village,Modesto,California,39,10,4
Wexford,Wexford,Pennsylvania,32,12,3
Hales Corners Plaza,Hales Corners,Wisconsin,33,25,6
Temecula Bel Villagio,Temecula,California,19,3,2
Cypress,Cypress,California,37,12,4
Park Road,Charlotte,North Carolina,16,7,3
Rams Plaza,Chapel Hill,North Carolina,25,8,0
Woodhaven,Woodhaven,Michigan,30,27,7
Lake Mary,Lake Mary,Florida,24,8,5
Edgewater,Edgewater,Maryland,18,11,2
Orchard Park,West Seneca,New York,12,7,6
Steele Creek,Charlotte,North Carolina,27,17,4
Sunnyvale,Sunnyvale,California,21,8,2
Pasadena ,Pasadena,California,26,14,2
Centre at Riverchase,Hoover,Alabama,28,9,2
Polaris,Columbus,Ohio,32,26,12
Lexington Green,Lexington,Kentucky,23,8,2
Little Italy,San Diego,California,25,11,7
Lake Forest,Lake Forest,California,32,3,4
Yorba Linda,Yorba Linda ,California,23,13,2
Concord Centre - Springfield,Springfield,Virginia,23,12,9
University Mall - Fairfax,Fairfax,Virginia,20,9,4
Wilton,Wilton,Connecticut,4,4,2
Sola Promontory,Overland Park,Kansas,41,19,7
Maplewood,Maplewood,Minnesota,34,11,2
Airport Boulevard,Mobile,Alabama,27,6,4
Mid City Market,New Orleans,Louisiana,25,7,3
Artesia,Artesia,California,40,16,7
Heritage Square,Madison,Alabama,27,10,5
Clay Terrace,Carmel,Indiana,34,14,3
Riverpark,Fresno,California,38,21,6
The Veridian,Silver Spring,Maryland,26,11,4
Clocktower Village,Omaha,Nebraska,29,25,7
Waco - Lake Air Court,Waco,Texas,28,14,4
Maple Village,Ann Arbor,Michigan,32,25,3
Orem,Orem,Utah,26,7,6
Congressional South,Rockville,Maryland,29,20,9
Fleming Island,Fleming Island,Florida,22,14,5
Spokane,Spokane,Washington,17,8,4
San Jose - Blossom Hill,San Jose,California,26,8,8
San Jose - Rose Garden,San Jose,California,25,16,5
Shelby Township,Shelby Township,Michigan,32,26,13
Greenbrier,Chesapeake,Virginia,30,20,6
Lewisville,Lewisville,Texas,8,0,0
New Town,Williamsburg,Virginia,0,0,0
Vero Beach,Vero Beach,Florida,23,14,3
Chandler,Chandler,Arizona,32,21,9
Blakeney,Charlotte,North Carolina,20,12,4
Powers Blvd.,Colorado Springs,Colorado,37,28,22
Sugar House,Salt Lake City,Utah,17,8,3
Pasadena,Pasadena,Texas,29,14,3
Brighton,Brighton,Michigan,29,21,17
Heights West,Houston,Texas,26,18,5
Oregon Pike,Lancaster,Pennsylvania,9,6,1
Harrisburg Pike,Lancaster,Pennsylvania,9,3,0
Castro Valley,Castro Valley,California,22,6,2
Westview South ,Frederick,Maryland,18,11,12
Upland Town Square,Upland,California,35,11,7
Costco Way,Bellevue,Wisconsin,27,8,1
Hauppauge,Hauppauge,New York,14,6,4
West Bloomfield,West Bloomfield,Michigan,14,9,2
The Summit,Lees Summit,Missouri,25,9,7
Rogers Pointe Olathe,Olathe,Kansas,22,4,3
Uptown Phoenix,Phoenix,Arizona,0,0,0
Myrtle Beach,Myrtle Beach,South Carolina,24,20,11
Oaks Mall,Gainesville,Florida,28,16,12
South Seattle - Southcenter,Tukwila,Washington,39,25,16
The Marketplace,Tustin,California,19,2,0
Westland,Westland,Michigan,23,16,8
Paso Robles,Paso Robles,California,7,5,3
Greene Crossing,Beavercreek,Ohio,17,13,3
Matthews,Matthews,North Carolina,10,0,0
Southside,Savannah,Georgia,26,9,8
Poway,Poway,California,25,9,2
Coconut Point,Estero,Florida,19,15,8
Greenwood,Greenwood,Indiana,23,17,3
Grove City,Grove City,Ohio,12,10,4
Kickapoo Corners Shopping Center,Springfield,Missouri,13,0,0
Perry Creek Shopping Center,Sioux City,Iowa,3,0,0
Attleboro,Attleboro,Massachusetts,10,8,2
Avon (Indiana),Avon,Indiana,11,10,3
Needham,Needham,Massachusetts,5,1,3
Naperville,Naperville,Illinois,0,0,0
Crossroads,Rochester,Minnesota,30,13,16
Battleground Village,Greensboro,North Carolina,18,3,0
Twelve Mile Crossing at Fountain Walk,Novi,Michigan,0,0,0
1620 York,Timonium,Maryland,22,14,8
Leaside,Toronto,Ontario,0,0,0
Oakville,Oakville,Ontario,0,0,0
Beverly Hills,"Beverly Hills, CA",California,0,0,0
Oceanside,Oceanside,California,0,0,0
Federal Way,Federal Way,Washington,0,0,0
Mayfaire,Wilmington,North Carolina,21,14,7
San Rafael,San Rafael,California,0,0,0
Murrieta Plaza,Murrieta,California,48,9,3
Homewood,Homewood,Alabama,7,0,0
Westminster,Westminster,Colorado,39,24,7
South Loop,Chicago,Illinois,0,0,0
Galleria of Mount Lebanon,Pittsburgh,Pennsylvania,0,0,0
McKnight Road,Pittsburgh,Pennsylvania,0,0,0
Dewitt,Dewitt,New York,0,0,0
Jupiter,Jupiter,Florida,0,0,0
Howard,Green Bay,Wisconsin,0,0,0
San Antonio-Sunset Ridge Shopping Center / Coming Soon!,San Antonio,Texas,4,1,0
Lexington Square,Lexington,South Carolina,0,0,0
Scottsdale,Scottsdale,Arizona,25,0,0
Champaign Commons,Champaign,Illinois,1,0,0
Eden Prairie,Eden Prairie,Minnesota,0,0,0
Topeka,Topeka,Kansas,0,0,0
Rochester Hills,Rochester Hills,Michigan,0,0,0
Monrovia,Monrovia,California,0,0,0
Pelham@85,Greenville,South Carolina,0,0,0
Brandywine Town Center,Wilmington,Delaware,0,0,0
Westerville,Westerville,Ohio,0,0,0
Bakersfield,Bakersfield,California,0,0,0
Strip District,Pittsburgh,Pennsylvania,0,0,0
